, etot, ebond, eang, etor, evdw, ehb_cho, ehb_chn,ehb_chc, ecoul, density
32 , -28081.43918 , -1382.23437485 , 13.13813997 , 5.45723481 , 237.93248973 , -8.48428804 , -0.82690775 , -0.1581309 , -33.78248129 , 1.8346844880662756
33 , -28080.84352 , -1383.21292969 , 13.24310903 , 5.67553904 , 238.65735347 , -8.70389535 , -0.66642684 , -0.17881575 , -33.17218044 , 1.752711358896314
34 , -28081.17291 , -1383.26469346 , 13.35615259 , 5.59609284 , 238.55593732 , -8.02543818 , -0.47039523 , -0.16145823 , -33.81127217 , 1.8396412768132482
35 , -28080.94889 , -1382.62820413 , 12.99893603 , 5.70107772 , 237.87604861 , -8.3653803 , -0.52097547 , -0.28851281 , -33.18831082 , 1.8055340485699334
36 , -28080.24717 , -1382.33997359 , 13.07077899 , 5.48438983 , 238.16388671 , -8.92630095 , -0.37944862 , -0.15081025 , -33.55066678 , 1.7373509928842468
37 , -28080.86463 , -1382.73000199 , 13.06488518 , 5.60766831 , 238.45837498 , -9.21643384 , -0.59052881 , -0.16564325 , -33.4970141 , 1.7809895319778537
38 , -28080.37656 , -1381.9463471 , 12.55374766 , 5.98810533 , 237.80525062 , -9.01097021 , -0.50458162 , -0.15153967 , -32.98767169 , 1.767173747958183
39 , -28081.19528 , -1383.28826963 , 13.36963252 , 5.6001394 , 238.57362966 , -8.05270652 , -0.47160488 , -0.1607433 , -33.83858447 , 1.8359766593218063
40 , -28081.43878 , -1382.2000223 , 13.13471183 , 5.45631365 , 237.90330792 , -8.48311204 , -0.82625453 , -0.15815676 , -33.77849624 , 1.8391991837916295
41 , -28080.26146 , -1382.3501858 , 13.07937986 , 5.48490187 , 238.16701779 , -8.9171195 , -0.38012775 , -0.15076453 , -33.54065923 , 1.7347889333781144
42 , -28081.12511 , -1382.52381423 , 13.46801637 , 5.71063819 , 237.90240737 , -9.34966848 , -0.50538345 , -0.23826289 , -33.88662881 , 1.8111321893322077
43 , -28080.98076 , -1383.06924265 , 13.19356859 , 5.63735173 , 238.60786336 , -8.65217344 , -0.52218947 , -0.16231802 , -33.02257874 , 1.758799354251318
44 , -28081.17545 , -1383.30337786 , 13.36740292 , 5.60052634 , 238.59299772 , -8.07402897 , -0.47124127 , -0.16072594 , -33.83434875 , 1.8313624987402413
45 , -28081.49461 , -1382.73762334 , 13.14694069 , 5.78465998 , 238.06702259 , -8.99547086 , -0.48569964 , -0.1518645 , -34.22369133 , 1.765458478253538
46 , -28081.23758 , -1382.30176227 , 12.66959332 , 5.90034966 , 237.95056646 , -8.85167033 , -0.54866001 , -0.15396997 , -32.39682788 , 1.7553309859581725
47 , -28080.84211 , -1382.24314625 , 12.727237 , 5.98572656 , 237.94452445 , -8.86689124 , -0.539157 , -0.16076975 , -32.81153239 , 1.7767185168441217
48 , -28081.81921 , -1381.73500001 , 12.54056851 , 6.08194482 , 237.3791732 , -9.37989677 , -0.57836367 , -0.1531519 , -34.27532577 , 1.840251466345256
49 , -28081.04805 , -1382.68196721 , 13.4636465 , 6.02823576 , 238.44758935 , -9.22172074 , -0.72268224 , -0.14879836 , -33.40678603 , 1.7608496289991422
