, etot, eang, etor, evdw, ehb, ecoul, density
52 , -14040.72297 , 4.73580238 , 7.84695292 , 101.66987948 , -0.31339833 , -16.99325674 , 1.781895249981594
53 , -14040.81382 , 5.44398318 , 7.58425748 , 102.50327382 , -0.28698926 , -17.08402746 , 1.8444749749209763
54 , -14040.52303 , 5.38325943 , 7.63153325 , 102.42497728 , -0.29183385 , -16.59765005 , 1.8045894434725862
55 , -14040.81124 , 4.85145883 , 7.93237407 , 101.75788717 , -0.29486039 , -17.22617025 , 1.8066157299869765
56 , -14040.39905 , 5.01025645 , 7.57570127 , 102.0290884 , -0.23284633 , -16.25238243 , 1.849839536852886
57 , -14040.53441 , 5.3800826 , 7.52188451 , 102.56324895 , -0.29752138 , -16.68845991 , 1.8428895500698261
58 , -14040.53173 , 5.18752696 , 7.6283464 , 102.43878902 , -0.30323904 , -16.08526314 , 1.7913297415505924
59 , -14040.56963 , 5.37877634 , 7.52229861 , 102.56405595 , -0.29755864 , -16.68843018 , 1.8304049281183892
60 , -14040.43626 , 4.99844381 , 7.5762102 , 102.03934223 , -0.23005192 , -16.205639 , 1.8443005841296065
61 , -14040.23529 , 4.75504587 , 7.66987338 , 101.84251982 , -0.26205466 , -16.55575669 , 1.8240696708493882
62 , -14040.57254 , 5.37793893 , 7.52229517 , 102.55952095 , -0.29757233 , -16.68814191 , 1.8360392419231282
63 , -14040.38288 , 5.01135688 , 7.58122816 , 102.04175792 , -0.2379996 , -16.28215916 , 1.8482467896113144
64 , -14040.36584 , 4.99848503 , 7.58230261 , 102.06167395 , -0.23190498 , -16.22440081 , 1.8136430888300707
65 , -14040.86516 , 4.98876225 , 8.01955387 , 101.74310995 , -0.28870887 , -16.70795183 , 1.8047596739696112
66 , -14040.56816 , 5.3780737 , 7.52243356 , 102.56216429 , -0.29755774 , -16.68821605 , 1.834658304755346
67 , -14040.49768 , 5.18646618 , 7.63934756 , 102.41668092 , -0.30387884 , -16.03800987 , 1.782502978895861
68 , -14040.39468 , 4.98038588 , 7.73816799 , 102.01579952 , -0.24135441 , -15.87414197 , 1.7427794464381485
69 , -14040.56096 , 5.40778432 , 7.58726304 , 102.51668882 , -0.2830581 , -16.03857627 , 1.8382850193367997
70 , -14040.33945 , 5.00199435 , 7.57131111 , 102.02384166 , -0.22345439 , -16.17899549 , 1.8439988059192964
71 , -14040.78485 , 4.9063222 , 7.75387746 , 101.90684545 , -0.24481131 , -16.35360438 , 1.763265334711128
72 , -14040.38163 , 4.98946522 , 7.72250989 , 102.08721334 , -0.23694739 , -16.02865957 , 1.771201213740482
73 , -14040.32212 , 5.11912969 , 7.45252605 , 102.25538092 , -0.222153 , -16.23577327 , 1.7744200529480683
74 , -14040.42132 , 4.99966274 , 7.57385772 , 102.04366536 , -0.22803847 , -16.19707714 , 1.8399185387024515
75 , -14040.47112 , 5.39145653 , 7.58826375 , 102.47845184 , -0.27997204 , -15.97422085 , 1.8360598715801362
76 , -14040.92791 , 4.83784673 , 7.89785302 , 101.8398063 , -0.28954774 , -17.10705952 , 1.8375747656828616
77 , -14040.3878 , 4.99747092 , 7.57366735 , 102.04397721 , -0.22785439 , -16.20187238 , 1.8529540733443146
78 , -14040.51443 , 5.37935878 , 7.5220145 , 102.56376544 , -0.29754013 , -16.68846986 , 1.8321474579428294
79 , -14040.31025 , 5.04060971 , 7.52728374 , 102.11398265 , -0.22047421 , -16.21519219 , 1.8132182470050737
80 , -14040.55014 , 5.12863464 , 7.66520665 , 102.02710742 , -0.29014693 , -17.20443259 , 1.820569556802885
81 , -14040.51281 , 4.87003681 , 7.82169254 , 101.91686971 , -0.30107262 , -17.09823631 , 1.817256871900948
82 , -14040.57919 , 4.86716554 , 7.8210275 , 101.91703731 , -0.30135947 , -17.09619569 , 1.8093660911308591
83 , -14040.63369 , 4.86622865 , 7.82032169 , 101.91694818 , -0.30143537 , -17.09566363 , 1.8085954051145976
84 , -14040.44605 , 5.13326994 , 7.65814592 , 102.03021341 , -0.28886862 , -17.20273958 , 1.8211421253380815
85 , -14040.57593 , 4.86815253 , 7.82020509 , 101.91694684 , -0.30128515 , -17.09952025 , 1.8266179273775434
86 , -14040.59507 , 4.86656431 , 7.82079798 , 101.91852152 , -0.30141534 , -17.09600941 , 1.8175564284695127
87 , -14040.55665 , 4.86955508 , 7.82185456 , 101.91540839 , -0.30103855 , -17.09548355 , 1.8147800655306123
88 , -14040.55564 , 4.86778924 , 7.82105978 , 101.91951697 , -0.30132752 , -17.09688994 , 1.8070378148797452
89 , -14040.45436 , 5.13249113 , 7.65932687 , 102.03068017 , -0.2891247 , -17.20318031 , 1.8370178563612714
90 , -14040.51132 , 5.13256205 , 7.65983746 , 102.02886682 , -0.28923535 , -17.20297357 , 1.8172210168440954
91 , -14040.52906 , 5.13030099 , 7.66252606 , 102.02749582 , -0.28964721 , -17.2034665 , 1.8225704629878932
92 , -14040.51011 , 4.86636027 , 7.8190692 , 101.91741967 , -0.30142839 , -17.09515844 , 1.7862611036669578
93 , -14040.47879 , 4.86580092 , 7.8193414 , 101.91650794 , -0.30156812 , -17.09751319 , 1.7822755411490259
94 , -14040.50546 , 4.87085063 , 7.82180475 , 101.91809947 , -0.30100384 , -17.09975016 , 1.817652731413986
95 , -14040.50664 , 4.86649316 , 7.81870212 , 101.91745229 , -0.30150043 , -17.09657212 , 1.7918419425486334
96 , -14040.55916 , 4.86860507 , 7.81904278 , 101.91333509 , -0.30130206 , -17.10246666 , 1.81407085413076
97 , -14040.41999 , 5.01227695 , 7.57189209 , 102.04713842 , -0.22477517 , -16.16762996 , 1.860949584476155
98 , -14040.46772 , 4.55220552 , 7.9456395 , 101.50352036 , -0.27424592 , -16.55906215 , 1.7718947770944786
99 , -14040.65009 , 5.11639072 , 7.62218921 , 102.23229271 , -0.27359864 , -16.58370382 , 1.7296633756549054
100 , -14040.83902 , 5.25915024 , 7.56716801 , 102.59338752 , -0.26362296 , -16.78625385 , 1.776476827923917
101 , -14040.54443 , 5.31691433 , 7.43321285 , 102.74005201 , -0.26773946 , -16.54584273 , 1.8459060648780539
102 , -14040.5746 , 4.86830774 , 7.81915038 , 101.91733414 , -0.30133843 , -17.0949584 , 1.8292756552048983
103 , -14040.53517 , 5.12559057 , 7.66902378 , 102.0248582 , -0.29081306 , -17.20429433 , 1.8184389827232699
104 , -14040.50513 , 5.13009646 , 7.6634164 , 102.02642478 , -0.28984021 , -17.20403943 , 1.8241437692516862
105 , -14040.44962 , 5.00791096 , 7.57441951 , 102.05171569 , -0.22830076 , -16.188936 , 1.857187539642673
106 , -14040.34023 , 4.76142782 , 7.67474526 , 101.69254653 , -0.22790372 , -16.10445633 , 1.8693214383576549
107 , -14040.49986 , 5.13141272 , 7.66130492 , 102.0267415 , -0.28947467 , -17.20320082 , 1.8314899288574187
108 , -14040.45969 , 4.87430355 , 7.8203122 , 101.91102368 , -0.3005843 , -17.10463496 , 1.8293479020852006
109 , -14040.5447 , 4.8710698 , 7.82140457 , 101.91906995 , -0.30091207 , -17.09977048 , 1.8252107724198823
110 , -14040.51479 , 5.13558294 , 7.65484847 , 102.03224081 , -0.28804798 , -17.20069243 , 1.8317446641599573
111 , -14040.65213 , 4.84636128 , 7.7748706 , 102.143048 , -0.30351606 , -16.91460912 , 1.765460699671901
112 , -14040.38067 , 5.0005778 , 7.57564909 , 102.03572308 , -0.22803533 , -16.19365846 , 1.8452799140920517
113 , -14040.63458 , 4.85707751 , 7.77349272 , 102.14224607 , -0.29942512 , -16.9144682 , 1.7856168409647923
114 , -14040.63831 , 4.85572503 , 7.77373272 , 102.13489782 , -0.29945734 , -16.91519647 , 1.7752279413530967
